ID_EXT;МАРКА;МОДЕЛЬ;ГОД;ЗАПЧАСТЬ;ВЕРСИЯ;ТОПЛИВО;ОБЪЕМ;ТИП ДВИГАТЕЛЯ;КОРОБКА;ТИП КУЗОВА;R ДИАМЕТР;J ШИРИНА;КОЛ ОТВЕРСТИЙ;ET ВЫЛЕТ;DIA;PCD;НОМЕР;ОПИСАНИЕ;НОВАЯ;ПОД ЗАКАЗ;СКЛАДСКАЯ ИНФОРМАЦИЯ;ЦЕНА;ВАЛЮТА;СКИДКА;АДРЕС;ТЕЛЕФОНЫ;EMAIL;ИМЯ;ФОТО
001009;Audi;A4;2007;Двигатель;;дизель;2.0;TDI PD;МКПП.;Седан;;;;;;;BRD;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;800;USD;;;;;;https://bas.avax.by/zap_images/001009/001009-dvigatel-Audi-A4-4.jpeg,https://bas.avax.by/zap_images/001009/001009-dvigatel-Audi-A4-3.jpeg,https://bas.avax.by/zap_images/001009/001009-dvigatel-Audi-A4-2.jpeg,https://bas.avax.by/zap_images/001009/001009-dvigatel-Audi-A4.jpeg,https://bas.avax.by/zap_images/001009/001009-dvigatel-Audi-A4-1.jpeg
004988;Audi;A4;2007;Двигатель;;дизель;2.0;TDI;МКПП;Седан;;;;;;;BRD;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;650;USD;;;;;;https://bas.avax.by/zap_images/004988/004988-dvigatel-Audi-A4-4.jpeg,https://bas.avax.by/zap_images/004988/004988-dvigatel-Audi-A4-3.jpeg,https://bas.avax.by/zap_images/004988/004988-dvigatel-Audi-A4-2.jpeg,https://bas.avax.by/zap_images/004988/004988-dvigatel-Audi-A4-1.jpeg,https://bas.avax.by/zap_images/004988/004988-dvigatel-Audi-A4.jpeg
002488;Audi;A4;2006;Двигатель;;дизель;2.0;TDI;Вариатор;Седан;;;;;;;BRE;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;800;USD;;;;;;https://bas.avax.by/zap_images/002488/002488-dvigatel-Audi-A4-4.jpeg,https://bas.avax.by/zap_images/002488/002488-dvigatel-Audi-A4-3.jpeg,https://bas.avax.by/zap_images/002488/002488-dvigatel-Audi-A4-1.jpeg,https://bas.avax.by/zap_images/002488/002488-dvigatel-Audi-A4.jpeg,https://bas.avax.by/zap_images/002488/002488-dvigatel-Audi-A4-2.jpeg
004285;Audi;A4;2006;Двигатель;;дизель;2.0;TDI;МКПП;Седан;;;;;;;BRE;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;700;USD;;;;;;https://bas.avax.by/zap_images/004285/004285-dvigatel-Audi-A4-4.jpeg,https://bas.avax.by/zap_images/004285/004285-dvigatel-Audi-A4-3.jpeg,https://bas.avax.by/zap_images/004285/004285-dvigatel-Audi-A4-2.jpeg,https://bas.avax.by/zap_images/004285/004285-dvigatel-Audi-A4-1.jpeg,https://bas.avax.by/zap_images/004285/004285-dvigatel-Audi-A4.jpeg
002453;Audi;A4;2007;Двигатель;;дизель;2.0;TDI;Вариатор;Седан;;;;;;;BRE;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;700;USD;;;;;;https://bas.avax.by/zap_images/002453/002453-dvigatel-Audi-A4-4.jpeg,https://bas.avax.by/zap_images/002453/002453-dvigatel-Audi-A4-3.jpeg,https://bas.avax.by/zap_images/002453/002453-dvigatel-Audi-A4-2.jpeg,https://bas.avax.by/zap_images/002453/002453-dvigatel-Audi-A4-1.jpeg,https://bas.avax.by/zap_images/002453/002453-dvigatel-Audi-A4.jpeg
004071;Audi;A4;2006;Двигатель;;дизель;2.0;TDI;МКПП;Седан;;;;;;;BRE;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;650;USD;;;;;;https://bas.avax.by/zap_images/004071/004071-dvigatel-Audi-A4-4.jpeg,https://bas.avax.by/zap_images/004071/004071-dvigatel-Audi-A4-3.jpeg,https://bas.avax.by/zap_images/004071/004071-dvigatel-Audi-A4-2.jpeg,https://bas.avax.by/zap_images/004071/004071-dvigatel-Audi-A4-1.jpeg,https://bas.avax.by/zap_images/004071/004071-dvigatel-Audi-A4.jpeg
000783;Audi;A4;2006;Двигатель;;дизель;2.0;TDI;МКПП;Седан;;;;;;;BRE;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;650;USD;;;;;;https://bas.avax.by/zap_images/000783/000783-dvigatel-Audi-A4-4.jpeg,https://bas.avax.by/zap_images/000783/000783-dvigatel-Audi-A4-3.jpeg,https://bas.avax.by/zap_images/000783/000783-dvigatel-Audi-A4-2.jpeg,https://bas.avax.by/zap_images/000783/000783-dvigatel-Audi-A4-1.jpeg,https://bas.avax.by/zap_images/000783/000783-dvigatel-Audi-A4.jpeg
000177;Audi;A4;2007;Двигатель;;дизель;2.0;TDI;МКПП;Седан;;;;;;;BRE;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;650;USD;;;;;;https://bas.avax.by/zap_images/000177/000177-dvigatel-Audi-A4-4.jpeg,https://bas.avax.by/zap_images/000177/000177-dvigatel-Audi-A4-3.jpeg,https://bas.avax.by/zap_images/000177/000177-dvigatel-Audi-A4-2.jpeg,https://bas.avax.by/zap_images/000177/000177-dvigatel-Audi-A4-1.jpeg,https://bas.avax.by/zap_images/000177/000177-dvigatel-Audi-A4.jpeg
000854;Audi;A4;2011;Двигатель;;дизель;2.0;TDI;МКПП.;Седан;;;;;;;CAHA;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;1150;USD;;;;;;https://bas.avax.by/zap_images/000854/000854-dvigatel-Audi-A4-4.jpeg,https://bas.avax.by/zap_images/000854/000854-dvigatel-Audi-A4-3.jpeg,https://bas.avax.by/zap_images/000854/000854-dvigatel-Audi-A4-2.jpeg,https://bas.avax.by/zap_images/000854/000854-dvigatel-Audi-A4-1.jpeg,https://bas.avax.by/zap_images/000854/000854-dvigatel-Audi-A4.jpeg
001217;Audi;A4;2013;Двигатель;;бензин;1.8;TFSI;АКПП;Седан;;;;;;;CPK;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;2550;USD;;;;;;https://bas.avax.by/zap_images/001217/001217-dvigatel-Audi-A4-5.jpeg,https://bas.avax.by/zap_images/001217/001217-dvigatel-Audi-A4-4.jpeg,https://bas.avax.by/zap_images/001217/001217-dvigatel-Audi-A4-3.jpeg,https://bas.avax.by/zap_images/001217/001217-dvigatel-Audi-A4-2.jpeg,https://bas.avax.by/zap_images/001217/001217-dvigatel-Audi-A4-1.jpeg,https://bas.avax.by/zap_images/001217/001217-dvigatel-Audi-A4.jpeg
000554;Audi;A5;2009;Двигатель;;дизель;2.0;TDI;МКПП;Купе;;;;;;;CAHA;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;1050;USD;;;;;;https://bas.avax.by/zap_images/000554/000554-dvigatel-Audi-A5-4.jpeg,https://bas.avax.by/zap_images/000554/000554-dvigatel-Audi-A5-3.jpeg,https://bas.avax.by/zap_images/000554/000554-dvigatel-Audi-A5-2.jpeg,https://bas.avax.by/zap_images/000554/000554-dvigatel-Audi-A5-1.jpeg,https://bas.avax.by/zap_images/000554/000554-dvigatel-Audi-A5.jpeg
000249;Audi;A5;2013;Двигатель;;дизель;2.0;TDI;МКПП;Купе;;;;;;;CGLC;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;2050;USD;;;;;;https://bas.avax.by/zap_images/000249/000249-dvigatel-Audi-A5-4.jpeg,https://bas.avax.by/zap_images/000249/000249-dvigatel-Audi-A5-3.jpeg,https://bas.avax.by/zap_images/000249/000249-dvigatel-Audi-A5-2.jpeg,https://bas.avax.by/zap_images/000249/000249-dvigatel-Audi-A5-1.jpeg,https://bas.avax.by/zap_images/000249/000249-dvigatel-Audi-A5.jpeg
001400;Audi;A6;2008;Двигатель;;бензин;3.2;FSI;АКПП;Седан;;;;;;;BKH;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;1650;USD;;;;;;https://bas.avax.by/zap_images/001400/001400-dvigatel-Audi-A6-6.jpeg,https://bas.avax.by/zap_images/001400/001400-dvigatel-Audi-A6-5.jpeg,https://bas.avax.by/zap_images/001400/001400-dvigatel-Audi-A6-4.jpeg,https://bas.avax.by/zap_images/001400/001400-dvigatel-Audi-A6-3.jpeg,https://bas.avax.by/zap_images/001400/001400-dvigatel-Audi-A6-2.jpeg,https://bas.avax.by/zap_images/001400/001400-dvigatel-Audi-A6-1.jpeg,https://bas.avax.by/zap_images/001400/001400-dvigatel-Audi-A6.jpeg
000897;Audi;A6;2009;Двигатель;;бензин;3.2;i;АКПП;Седан;;;;;;;BKH;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;1650;USD;;;;;;https://bas.avax.by/zap_images/000897/000897-dvigatel-Audi-A6-4.jpeg,https://bas.avax.by/zap_images/000897/000897-dvigatel-Audi-A6-3.jpeg,https://bas.avax.by/zap_images/000897/000897-dvigatel-Audi-A6-2.jpeg,https://bas.avax.by/zap_images/000897/000897-dvigatel-Audi-A6-1.jpeg,https://bas.avax.by/zap_images/000897/000897-dvigatel-Audi-A6.jpeg
002693;Audi;A6;2005;Двигатель;;дизель;3.0;TDI;АКПП;Седан;;;;;;;BMK;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;1650;USD;;;;;;https://bas.avax.by/zap_images/002693/002693-dvigatel-Audi-A6-4.jpeg,https://bas.avax.by/zap_images/002693/002693-dvigatel-Audi-A6-3.jpeg,https://bas.avax.by/zap_images/002693/002693-dvigatel-Audi-A6-2.jpeg,https://bas.avax.by/zap_images/002693/002693-dvigatel-Audi-A6-1.jpeg,https://bas.avax.by/zap_images/002693/002693-dvigatel-Audi-A6.jpeg
001564;Audi;A6;2006;Двигатель;;дизель;2.7;TDI;АКПП;Седан;;;;;;;BPP;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;1050;USD;;;;;;https://bas.avax.by/zap_images/001564/001564-dvigatel-Audi-A6-4.jpeg,https://bas.avax.by/zap_images/001564/001564-dvigatel-Audi-A6-3.jpeg,https://bas.avax.by/zap_images/001564/001564-dvigatel-Audi-A6-2.jpeg,https://bas.avax.by/zap_images/001564/001564-dvigatel-Audi-A6-1.jpeg,https://bas.avax.by/zap_images/001564/001564-dvigatel-Audi-A6.jpeg
000986;Audi;Q7;2008;Механизм стеклоочистителя (трапеция дворников);;;;;;Джип;;;;;;;"4L1910113; 4L1955119A; AU716LHD";Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;300;USD;;;;;;https://bas.avax.by/zap_images/000986/000986-trapetsiya-stekloochistitelya-Audi-Q7-2.jpeg,https://bas.avax.by/zap_images/000986/000986-trapetsiya-stekloochistitelya-Audi-Q7-1.jpeg,https://bas.avax.by/zap_images/000986/000986-trapetsiya-stekloochistitelya-Audi-Q7.jpeg
003203;Audi;Q7;2008;Механизм стеклоочистителя (трапеция дворников);;;;;;Джип;;;;;;;"4L1910113; 4L1955119A; AU716LHD";Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;300;USD;;;;;;https://bas.avax.by/zap_images/003203/003203-trapetsiya-stekloochistitelya-Audi-Q7-2.jpeg,https://bas.avax.by/zap_images/003203/003203-trapetsiya-stekloochistitelya-Audi-Q7-1.jpeg,https://bas.avax.by/zap_images/003203/003203-trapetsiya-stekloochistitelya-Audi-Q7.jpeg
003563;Audi;Q7;2008;Механизм стеклоочистителя (трапеция дворников);;;;;;Джип;;;;;;;"4L1910113; 4L1955119A; AU716LHD";Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;300;USD;;;;;;https://bas.avax.by/zap_images/003563/003563-trapetsiya-stekloochistitelya-Audi-Q7-2.jpeg,https://bas.avax.by/zap_images/003563/003563-trapetsiya-stekloochistitelya-Audi-Q7-1.jpeg,https://bas.avax.by/zap_images/003563/003563-trapetsiya-stekloochistitelya-Audi-Q7.jpeg
004798;Audi;Q7;2008;Механизм стеклоочистителя (трапеция дворников);;;;;;Джип;;;;;;;"4L1910113; 4L1955119A; AU716LHD";Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;300;USD;;;;;;https://bas.avax.by/zap_images/004798/004798-trapetsiya-stekloochistitelya-Audi-Q7-2.jpeg,https://bas.avax.by/zap_images/004798/004798-trapetsiya-stekloochistitelya-Audi-Q7-1.jpeg,https://bas.avax.by/zap_images/004798/004798-trapetsiya-stekloochistitelya-Audi-Q7.jpeg
001685;Audi;TT;2000;Двигатель;;бензин;1.8;i;МКПП;Купе;;;;;;;AJQ;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;600;USD;;;;;;https://bas.avax.by/zap_images/001685/001685-dvigatel-Audi-TT-4.jpeg,https://bas.avax.by/zap_images/001685/001685-dvigatel-Audi-TT-3.jpeg,https://bas.avax.by/zap_images/001685/001685-dvigatel-Audi-TT-2.jpeg,https://bas.avax.by/zap_images/001685/001685-dvigatel-Audi-TT-1.jpeg,https://bas.avax.by/zap_images/001685/001685-dvigatel-Audi-TT.jpeg
000447;Audi;TT;2000;Двигатель;;бензин;1.8;i;МКПП;Купе;;;;;;;APX;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;650;USD;;;;;;https://bas.avax.by/zap_images/000447/000447-dvigatel-Audi-TT-4.jpeg,https://bas.avax.by/zap_images/000447/000447-dvigatel-Audi-TT-3.jpeg,https://bas.avax.by/zap_images/000447/000447-dvigatel-Audi-TT-2.jpeg,https://bas.avax.by/zap_images/000447/000447-dvigatel-Audi-TT-1.jpeg,https://bas.avax.by/zap_images/000447/000447-dvigatel-Audi-TT.jpeg
001579;Audi;TT;2002;Двигатель;;бензин;1.8;i;МКПП;Купе;;;;;;;ARY;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;600;USD;;;;;;https://bas.avax.by/zap_images/001579/001579-dvigatel-Audi-TT-4.jpeg,https://bas.avax.by/zap_images/001579/001579-dvigatel-Audi-TT-3.jpeg,https://bas.avax.by/zap_images/001579/001579-dvigatel-Audi-TT-2.jpeg,https://bas.avax.by/zap_images/001579/001579-dvigatel-Audi-TT-1.jpeg,https://bas.avax.by/zap_images/001579/001579-dvigatel-Audi-TT.jpeg
004450;Audi;TT;2001;Двигатель;;бензин;1.8;i;МКПП;Купе;;;;;;;ARY;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;600;USD;;;;;;https://bas.avax.by/zap_images/004450/004450-dvigatel-Audi-TT-4.jpeg,https://bas.avax.by/zap_images/004450/004450-dvigatel-Audi-TT-3.jpeg,https://bas.avax.by/zap_images/004450/004450-dvigatel-Audi-TT-2.jpeg,https://bas.avax.by/zap_images/004450/004450-dvigatel-Audi-TT-1.jpeg,https://bas.avax.by/zap_images/004450/004450-dvigatel-Audi-TT.jpeg
004671;Audi;TT;2002;Двигатель;;бензин;1.8;i;МКПП;Купе;;;;;;;ARY;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;600;USD;;;;;;https://bas.avax.by/zap_images/004671/004671-dvigatel-Audi-TT-4.jpeg,https://bas.avax.by/zap_images/004671/004671-dvigatel-Audi-TT-3.jpeg,https://bas.avax.by/zap_images/004671/004671-dvigatel-Audi-TT-2.jpeg,https://bas.avax.by/zap_images/004671/004671-dvigatel-Audi-TT-1.jpeg,https://bas.avax.by/zap_images/004671/004671-dvigatel-Audi-TT.jpeg
002610;Audi;TT;2002;Двигатель;;бензин;1.8;i;МКПП;Купе;;;;;;;BAM;Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;1050;USD;;;;;;https://bas.avax.by/zap_images/002610/002610-dvigatel-Audi-TT-4.jpeg,https://bas.avax.by/zap_images/002610/002610-dvigatel-Audi-TT-3.jpeg,https://bas.avax.by/zap_images/002610/002610-dvigatel-Audi-TT-2.jpeg,https://bas.avax.by/zap_images/002610/002610-dvigatel-Audi-TT-1.jpeg,https://bas.avax.by/zap_images/002610/002610-dvigatel-Audi-TT.jpeg
001670;BMW;1-Series;2008;Двигатель;;бензин;1.6;i;МКПП;Х/б;;;;;;;N43B16O0(N43B16AA);Цена за ДВС в комплектации как на фото, навесное с ДВС и КПП по отдельности не продаем. Видео работы ДВС перед снятием.;0;0;;1050;USD;;;;;;https://bas.avax.by/zap_images/001670/001670-dvigatel-BMW-1-Series-4.jpeg,https://bas.avax.by/zap_images/001670/001670-dvigatel-BMW-1-Series-2.jpeg,https://bas.avax.by/zap_images/001670/001670-dvigatel-BMW-1-Series-1.jpeg,https://bas.avax.by/zap_images/001670/001670-dvigatel-BMW-1-Series.jpeg,https://bas.avax.by/zap_images/001670/001670-dvigatel-BMW-1-Series-3.jpeg
